,host_response_rate,availability_365,neighbourhood_group,host_is_superhost,room_type,accommodates,room_type,bedrooms,beds,price,minimum_nights,review_scores_rating,amenities,instant_bookable,bathrooms
0,100.0,180,Mitte,f,Entire home/apt,3,Entire home/apt,1.0,0.0,61.14,5,93.0,29,f,1.0
1,0.0,353,Pankow,f,Entire home/apt,4,Entire home/apt,1.0,2.0,90.0,62,93.0,13,f,1.0
6,0.0,289,Friedrichshain-Kreuzberg,f,Entire home/apt,5,Entire home/apt,1.0,3.0,90.0,60,94.0,16,f,1.0
8,100.0,175,Pankow,t,Entire home/apt,4,Entire home/apt,2.0,2.0,159.0,3,89.0,24,f,1.0
9,0.0,291,Friedrichshain-Kreuzberg,f,Entire home/apt,4,Entire home/apt,1.0,2.0,70.0,60,95.0,14,f,1.0
11,100.0,270,Mitte,t,Entire home/apt,5,Entire home/apt,1.0,4.0,160.0,2,95.0,28,f,1.0
13,100.0,95,Pankow,f,Entire home/apt,4,Entire home/apt,2.0,2.0,135.0,4,94.0,11,f,2.5
16,86.0,300,Pankow,t,Entire home/apt,4,Entire home/apt,2.0,3.0,65.0,60,96.0,26,f,1.0
17,100.0,336,Pankow,t,Entire home/apt,8,Entire home/apt,2.0,4.0,113.0,4,95.0,28,t,1.0
18,100.0,55,Mitte,f,Entire home/apt,4,Entire home/apt,1.0,2.0,74.0,3,90.0,26,t,1.0
22,100.0,89,Friedrichshain-Kreuzberg,f,Private room,3,Private room,1.0,1.0,35.0,2,90.0,36,f,0.0
28,100.0,246,Friedrichshain-Kreuzberg,f,Private room,3,Private room,1.0,1.0,37.0,2,89.0,34,f,0.0
29,100.0,355,Friedrichshain-Kreuzberg,t,Entire home/apt,4,Entire home/apt,2.0,2.0,105.0,4,98.0,28,t,1.0
36,0.0,48,Mitte,f,Entire home/apt,5,Entire home/apt,2.0,4.0,81.0,2,92.0,23,f,1.0
37,100.0,279,Pankow,t,Entire home/apt,4,Entire home/apt,3.0,3.0,136.0,5,96.0,18,f,1.5
40,83.0,352,Pankow,f,Entire home/apt,4,Entire home/apt,2.0,3.0,154.0,2,91.0,7,f,2.0
44,100.0,340,Pankow,f,Entire home/apt,4,Entire home/apt,1.0,2.0,51.0,2,91.0,23,t,1.0
46,71.0,265,Pankow,f,Entire home/apt,6,Entire home/apt,3.0,4.0,120.0,2,81.0,7,f,1.0
55,100.0,69,Pankow,t,Entire home/apt,5,Entire home/apt,1.0,4.0,79.0,3,97.0,14,t,1.0
59,100.0,346,Neukölln,f,Entire home/apt,3,Entire home/apt,1.0,2.0,60.0,2,99.0,5,f,1.0
60,100.0,291,Friedrichshain-Kreuzberg,f,Entire home/apt,14,Entire home/apt,5.0,10.0,521.0,3,94.0,20,t,2.0
61,100.0,152,Pankow,f,Entire home/apt,3,Entire home/apt,1.0,2.0,75.0,60,95.0,22,f,1.0
64,100.0,274,Tempelhof - Schöneberg,f,Entire home/apt,6,Entire home/apt,3.0,6.0,119.0,3,98.0,37,t,1.0
65,100.0,318,Pankow,f,Entire home/apt,4,Entire home/apt,2.0,2.0,75.0,2,100.0,16,f,1.0
67,0.0,260,Friedrichshain-Kreuzberg,f,Entire home/apt,4,Entire home/apt,1.0,1.0,68.0,60,94.0,25,f,1.0
69,67.0,78,Friedrichshain-Kreuzberg,f,Entire home/apt,3,Entire home/apt,1.0,1.0,59.0,5,98.0,25,f,1.0
72,100.0,207,Neukölln,f,Entire home/apt,4,Entire home/apt,1.0,3.0,55.0,30,90.0,17,f,1.0
78,100.0,263,Friedrichshain-Kreuzberg,f,Entire home/apt,4,Entire home/apt,1.0,2.0,80.0,7,87.0,42,f,1.0
81,100.0,330,Mitte,f,Private room,4,Private room,1.0,1.0,25.0,2,96.0,21,f,0.0
82,100.0,60,Charlottenburg-Wilm.,f,Entire home/apt,5,Entire home/apt,2.0,3.0,161.0,2,98.0,36,f,1.0
84,0.0,76,Friedrichshain-Kreuzberg,f,Entire home/apt,4,Entire home/apt,2.0,4.0,110.0,5,95.0,28,f,1.0
85,100.0,358,Pankow,f,Entire home/apt,3,Entire home/apt,1.0,2.0,49.0,2,100.0,21,f,1.0
94,0.0,292,Mitte,f,Entire home/apt,3,Entire home/apt,2.0,3.0,78.0,60,94.0,24,f,1.0
95,0.0,292,Mitte,f,Entire home/apt,5,Entire home/apt,2.0,4.0,103.0,60,93.0,11,f,1.0
98,100.0,332,Friedrichshain-Kreuzberg,f,Entire home/apt,8,Entire home/apt,3.0,6.0,157.0,1,97.0,38,t,2.0
99,100.0,323,Friedrichshain-Kreuzberg,f,Entire home/apt,6,Entire home/apt,2.0,4.0,135.0,1,89.0,36,t,2.0
102,70.0,214,Charlottenburg-Wilm.,f,Entire home/apt,3,Entire home/apt,1.0,2.0,59.0,2,92.0,6,f,1.0
104,100.0,359,Pankow,t,Entire home/apt,12,Entire home/apt,3.0,15.0,170.0,2,96.0,38,f,1.5
109,100.0,331,Charlottenburg-Wilm.,f,Entire home/apt,4,Entire home/apt,1.0,2.0,85.0,2,94.0,33,t,1.0
112,54.0,338,Neukölln,f,Entire home/apt,4,Entire home/apt,1.0,1.0,80.0,2,88.0,3,f,0.0
117,100.0,325,Pankow,t,Entire home/apt,4,Entire home/apt,2.0,2.0,105.0,3,95.0,33,f,1.0
119,100.0,320,Neukölln,f,Entire home/apt,3,Entire home/apt,1.0,1.0,52.0,2,95.0,14,t,1.0
125,100.0,352,Lichtenberg,f,Entire home/apt,5,Entire home/apt,2.0,4.0,65.0,3,82.0,25,f,1.0
130,100.0,355,Pankow,f,Entire home/apt,3,Entire home/apt,1.0,1.0,119.0,1,96.0,32,f,1.0
133,0.0,365,Steglitz - Zehlendorf,f,Entire home/apt,4,Entire home/apt,2.0,6.0,89.0,60,0.0,37,f,1.0
134,0.0,48,Pankow,f,Entire home/apt,4,Entire home/apt,2.0,2.0,170.0,5,97.0,13,f,2.0
136,0.0,358,Neukölln,f,Entire home/apt,4,Entire home/apt,2.0,4.0,100.0,5,100.0,34,f,1.0
147,100.0,63,Mitte,t,Entire home/apt,4,Entire home/apt,2.0,2.0,51.0,1,96.0,32,t,1.0
152,100.0,108,Friedrichshain-Kreuzberg,t,Entire home/apt,4,Entire home/apt,2.0,2.0,75.0,10,97.0,29,f,1.0
157,100.0,291,Tempelhof - Schöneberg,f,Entire home/apt,8,Entire home/apt,4.0,0.0,80.0,60,100.0,13,f,2.5
164,0.0,108,Mitte,f,Entire home/apt,4,Entire home/apt,2.0,2.0,82.0,90,98.0,23,f,1.0
166,100.0,353,Pankow,t,Entire home/apt,5,Entire home/apt,2.0,4.0,84.0,3,95.0,14,f,1.0
167,100.0,326,Neukölln,f,Entire home/apt,3,Entire home/apt,1.0,1.0,45.0,2,95.0,11,t,1.0
174,100.0,321,Steglitz - Zehlendorf,f,Entire home/apt,4,Entire home/apt,1.0,2.0,75.0,5,80.0,17,f,1.0
175,100.0,320,Mitte,f,Entire home/apt,4,Entire home/apt,1.0,1.0,42.0,2,89.0,23,t,1.0
176,100.0,365,Mitte,t,Entire home/apt,5,Entire home/apt,1.0,2.0,190.0,2,95.0,42,t,1.0
177,100.0,134,Mitte,t,Entire home/apt,5,Entire home/apt,2.0,3.0,63.86,1,92.0,29,t,1.0
178,100.0,111,Mitte,t,Entire home/apt,8,Entire home/apt,2.0,5.0,70.0,1,94.0,22,t,1.0
179,100.0,363,Treptow - Köpenick,f,Entire home/apt,4,Entire home/apt,2.0,4.0,68.0,2,89.0,23,t,1.5
180,100.0,166,Mitte,f,Entire home/apt,6,Entire home/apt,3.0,6.0,150.0,4,89.0,28,t,1.0
182,100.0,260,Pankow,f,Entire home/apt,4,Entire home/apt,1.0,2.0,90.0,4,83.0,14,t,1.0
183,100.0,258,Mitte,f,Entire home/apt,4,Entire home/apt,1.0,4.0,93.0,30,91.0,17,t,1.0
188,100.0,293,Tempelhof - Schöneberg,t,Entire home/apt,4,Entire home/apt,1.0,2.0,69.0,2,94.0,33,t,1.0
190,100.0,151,Charlottenburg-Wilm.,f,Entire home/apt,4,Entire home/apt,2.0,3.0,50.0,22,89.0,18,f,1.0
194,100.0,330,Charlottenburg-Wilm.,f,Entire home/apt,6,Entire home/apt,2.0,5.0,98.43,3,87.0,17,f,2.0
195,100.0,175,Friedrichshain-Kreuzberg,t,Private room,6,Private room,1.0,2.0,80.0,1,96.0,36,f,0.0
198,86.0,347,Tempelhof - Schöneberg,f,Entire home/apt,4,Entire home/apt,1.0,0.0,61.0,4,99.0,7,f,1.0
199,100.0,309,Charlottenburg-Wilm.,f,Entire home/apt,4,Entire home/apt,1.0,1.0,61.0,3,83.0,14,f,1.0
205,0.0,217,Friedrichshain-Kreuzberg,f,Entire home/apt,4,Entire home/apt,1.0,1.0,56.0,60,100.0,9,f,1.0
207,100.0,276,Friedrichshain-Kreuzberg,f,Private room,4,Private room,1.0,3.0,35.0,2,91.0,20,f,0.0
208,100.0,92,Friedrichshain-Kreuzberg,f,Private room,5,Private room,1.0,4.0,30.0,2,92.0,26,f,0.0
212,100.0,304,Charlottenburg-Wilm.,f,Entire home/apt,4,Entire home/apt,1.0,3.0,65.0,61,96.0,6,f,0.0
214,100.0,237,Friedrichshain-Kreuzberg,f,Entire home/apt,3,Entire home/apt,2.0,3.0,50.0,93,87.0,12,f,1.0
215,72.0,360,Charlottenburg-Wilm.,f,Entire home/apt,4,Entire home/apt,1.0,2.0,55.0,7,56.0,18,t,1.0
217,72.0,360,Charlottenburg-Wilm.,f,Entire home/apt,3,Entire home/apt,1.0,3.0,45.0,1,76.0,15,t,1.0
220,100.0,135,Friedrichshain-Kreuzberg,t,Entire home/apt,4,Entire home/apt,1.0,2.0,56.0,2,88.0,23,t,1.0
221,100.0,361,Friedrichshain-Kreuzberg,f,Entire home/apt,5,Entire home/apt,2.0,5.0,65.0,3,90.0,31,f,1.0
222,100.0,344,Friedrichshain-Kreuzberg,f,Entire home/apt,4,Entire home/apt,2.0,2.0,95.0,2,92.0,19,f,1.0
223,100.0,311,Tempelhof - Schöneberg,f,Entire home/apt,6,Entire home/apt,2.0,3.0,58.0,3,94.0,29,t,2.0
224,100.0,304,Friedrichshain-Kreuzberg,f,Entire home/apt,4,Entire home/apt,1.0,2.0,60.0,4,86.0,20,t,1.0
