neighbourhood,neighbourhood_group,accommodates,room_type,bathrooms,bedrooms,beds,price,review_scores_rating,availability_365,instant_bookable
Brunnenstr. Süd,Mitte,3,Entire home/apt,1,1,0,61.14,93,180,f
Prenzlauer Berg Südwest,Pankow,4,Entire home/apt,1,1,2,90,93,353,f
nördliche Luisenstadt,Friedrichshain-Kreuzberg,5,Entire home/apt,1,1,3,90,94,289,f
Prenzlauer Berg Südwest,Pankow,4,Entire home/apt,1,2,2,159,89,175,f
nördliche Luisenstadt,Friedrichshain-Kreuzberg,4,Entire home/apt,1,1,2,70,95,291,f
Brunnenstr. Süd,Mitte,5,Entire home/apt,1,1,4,160,95,270,f
Prenzlauer Berg Südwest,Pankow,4,Entire home/apt,2.5,2,2,135,94,95,f
Helmholtzplatz,Pankow,4,Entire home/apt,1,2,3,65,96,300,f
Helmholtzplatz,Pankow,8,Entire home/apt,1,2,4,113,95,336,t
Moabit Ost,Mitte,4,Entire home/apt,1,1,2,74,90,55,t
südliche Luisenstadt,Friedrichshain-Kreuzberg,3,Private room,0,1,1,35,90,89,f
südliche Luisenstadt,Friedrichshain-Kreuzberg,3,Private room,0,1,1,37,89,246,f
Frankfurter Allee Süd FK,Friedrichshain-Kreuzberg,4,Entire home/apt,1,2,2,105,98,355,t
Brunnenstr. Süd,Mitte,5,Entire home/apt,1,2,4,81,92,48,f
Prenzlauer Berg Süd,Pankow,4,Entire home/apt,1.5,3,3,136,96,279,f
Prenzlauer Berg Nordwest,Pankow,4,Entire home/apt,2,2,3,154,91,352,f
Prenzlauer Berg Nord,Pankow,4,Entire home/apt,1,1,2,51,91,340,t
Prenzlauer Berg Südwest,Pankow,6,Entire home/apt,1,3,4,120,81,265,f
Prenzlauer Berg Nord,Pankow,5,Entire home/apt,1,1,4,79,97,69,t
Reuterstraße,Neukölln,3,Entire home/apt,1,1,2,60,99,346,f
Tempelhofer Vorstadt,Friedrichshain-Kreuzberg,14,Entire home/apt,2,5,10,521,94,291,t
Prenzlauer Berg Süd,Pankow,3,Entire home/apt,1,1,2,75,95,152,f
Schöneberg-Süd,Tempelhof - Schöneberg,6,Entire home/apt,1,3,6,119,98,274,t
Blankenfelde/Niederschönhausen,Pankow,4,Entire home/apt,1,2,2,75,100,318,f
südliche Luisenstadt,Friedrichshain-Kreuzberg,4,Entire home/apt,1,1,1,68,94,260,f
Frankfurter Allee Süd FK,Friedrichshain-Kreuzberg,3,Entire home/apt,1,1,1,59,98,78,f
Schillerpromenade,Neukölln,4,Entire home/apt,1,1,3,55,90,207,f
Südliche Friedrichstadt,Friedrichshain-Kreuzberg,4,Entire home/apt,1,1,2,80,87,263,f
Moabit West,Mitte,4,Private room,0,1,1,25,96,330,f
Wiesbadener Straße,Charlottenburg-Wilm.,5,Entire home/apt,1,2,3,161,98,60,f
südliche Luisenstadt,Friedrichshain-Kreuzberg,4,Entire home/apt,1,2,4,110,95,76,f
Blankenburg/Heinersdorf/Märchenland,Pankow,3,Entire home/apt,1,1,2,49,100,358,f
Alexanderplatz,Mitte,3,Entire home/apt,1,2,3,78,94,292,f
Alexanderplatz,Mitte,5,Entire home/apt,1,2,4,103,93,292,f
Südliche Friedrichstadt,Friedrichshain-Kreuzberg,8,Entire home/apt,2,3,6,157,97,332,t
Südliche Friedrichstadt,Friedrichshain-Kreuzberg,6,Entire home/apt,2,2,4,135,89,323,t
Volkspark Wilmersdorf,Charlottenburg-Wilm.,3,Entire home/apt,1,1,2,59,92,214,f
Pankow Zentrum,Pankow,12,Entire home/apt,1.5,3,15,170,96,359,f
Neue Kantstraße,Charlottenburg-Wilm.,4,Entire home/apt,1,1,2,85,94,331,t
Reuterstraße,Neukölln,4,Entire home/apt,0,1,1,80,88,338,f
Prenzlauer Berg Ost,Pankow,4,Entire home/apt,1,2,2,105,95,325,f
Buckow Nord,Neukölln,3,Entire home/apt,1,1,1,52,95,320,t
Karlshorst,Lichtenberg,5,Entire home/apt,1,2,4,65,82,352,f
Blankenburg/Heinersdorf/Märchenland,Pankow,3,Entire home/apt,1,1,1,119,96,355,f
Zehlendorf  Nord,Steglitz - Zehlendorf,4,Entire home/apt,1,2,6,89,0,365,f
Helmholtzplatz,Pankow,4,Entire home/apt,2,2,2,170,97,48,f
Rudow,Neukölln,4,Entire home/apt,1,2,4,100,100,358,f
Wedding Zentrum,Mitte,4,Entire home/apt,1,2,2,51,96,63,t
südliche Luisenstadt,Friedrichshain-Kreuzberg,4,Entire home/apt,1,2,2,75,97,108,f
Lichtenrade,Tempelhof - Schöneberg,8,Entire home/apt,2.5,4,0,80,100,291,f
Alexanderplatz,Mitte,4,Entire home/apt,1,2,2,82,98,108,f
Prenzlauer Berg Südwest,Pankow,5,Entire home/apt,1,2,4,84,95,353,f
Buckow Nord,Neukölln,3,Entire home/apt,1,1,1,45,95,326,t
Zehlendorf  Südwest,Steglitz - Zehlendorf,4,Entire home/apt,1,1,2,75,80,321,f
Moabit West,Mitte,4,Entire home/apt,1,1,1,42,89,320,t
Moabit West,Mitte,5,Entire home/apt,1,1,2,190,95,365,t
Brunnenstr. Süd,Mitte,5,Entire home/apt,1,2,3,63.86,92,134,t
Brunnenstr. Süd,Mitte,8,Entire home/apt,1,2,5,70,94,111,t
Johannisthal,Treptow - Köpenick,4,Entire home/apt,1.5,2,4,68,89,363,t
