,id,listing_url,name,description,picture_url,host_id,host_url,host_name,host_response_rate,neighbourhood,neighbourhood_group,latitude,longitude,room_type,accommodates,room_type,bedrooms,beds,price,minimum_nights,review_scores_rating,availability_365,instant_bookable,bathrooms
0,2015,https://www.airbnb.com/rooms/2015,Berlin-Mitte Value! Quiet courtyard/very central,"Great location!  <br />30 of 75 sq meters. This wood floored/high ceiling typical Berlin ""Altbau"" section of an apartment consists of 1 simple large room, a small kitchen and a bathroom + shower. The apartment is in Mitte, close to Prenzlauer Berg/Mauerpark. Perfect for short visits, singles or couples. Your section is closed from the rest of the bigger flat wich is not noticeable. Private entrance, kitchen and full bathroom. You will not be sharing your space in any way.<br /><br /><b>The space</b><br />A+++ location! This „Einliegerwohnung“ is an extention of a larger apartment with a separate entrance, bathroom and kitchen.<br />The door to the rest of the apartment is soundproof, hidden, locked and barely noticable (behind mirror in pictures). <br />Your 30 sq meters are facing a quiet courtyard. This wood floored/high ceiling typical Berlin ""Altbau"" apartment consists of 1 large room with a large double bed, optionally with an extra matress for a 3rd guest), a small kitchen suitab",https://a0.muscache.com/pictures/260fd609-710a-4304-82ab-abd7498efd62.jpg,2217,https://www.airbnb.com/users/show/2217,Ion,100.0,Brunnenstr. Süd,Mitte,52.53454,13.402560000000001,Entire home/apt,3,Entire home/apt,1.0,0.0,61.14,5,93.0,180,f,1.0
1,3176,https://www.airbnb.com/rooms/3176,Fabulous Flat in great Location,"This beautiful first floor apartment  is situated at  Kollwitzplatz.<br />Its ideal for 2 but can comfortably accommodate 4 with the extra double bed in the living room.<br /><br />PLEASE INQUIRE FIRST BEFORE MAKING A BOOKING. THANKS<br /><br /><b>The space</b><br />1st floor (68m2) apartment on Kollwitzplatz/ Prenzlauer Berg.<br /><br />It's ideal for 2 but can sleep comfortably an extra 2 in the living room. (Please let us know in advance if you are 2 people sleeping separately that we can bring extra sheet for you.)<br />Kids are welcome and for smaller visitors we can arrange  baby cot and high chair.<br /><br />The front room is spacious and open plain with a large dining table, parquet flooring and a simple yet stylish décor.<br />You can relax in an Indian easy chair or simply lounge on the daybed.<br /><br />The kitchen area has everything from frying pan to coffee maker, an electric oven and stove, refrigerator.<br /><br />To the back of the apartment is the bedroom with a lar",https://a0.muscache.com/pictures/243355/84afcff6_original.jpg,3718,https://www.airbnb.com/users/show/3718,Britta,0.0,Prenzlauer Berg Südwest,Pankow,52.535,13.41758,Entire home/apt,4,Entire home/apt,1.0,2.0,90.0,62,93.0,353,f,1.0
6,16644,https://www.airbnb.com/rooms/16644,In the Heart of Berlin - Kreuzberg,"Light and sunny 2-Room-turn of the century-flat in a typical Berliner front house in the best part of Kreuzberg.<br /><br /><b>The space</b><br />Rent in the heart of Berlin - Kreuzberg<br />Newly renovated, light and sunny 2-Rooms-turn of the century-flat in a typical Berliner front house. The bedroom has a double bed (latex-mattress, 1,80 m x 2,20 m), a small desk, an armoire for your clothes (with both hanging and shelf space), and 2 small armchair. The living room is equipped with a comfortable sleeper sofa (for 2 persons), a Bett (1,00 m x 2,00 m), 1 relaxchair and a dining table for 4-6 persons. There is a small stereo which connects through usb to your MP3 player, and there is also a  Internet connection. All furniture is in good condition. The bathroom has a bathtub and shower, and a toilet. The kitchen is completely equipped with pots, dishes and cooking utensils, stove, small refrigerator, dishwasher, washing machine, toaster and coffee machine. The all rooms have beautiful p",https://a0.muscache.com/pictures/73759174/e2ef28d0_original.jpg,64696,https://www.airbnb.com/users/show/64696,Rene,0.0,nördliche Luisenstadt,Friedrichshain-Kreuzberg,52.50479,13.4351,Entire home/apt,5,Entire home/apt,1.0,3.0,90.0,60,94.0,289,f,1.0
8,20858,https://www.airbnb.com/rooms/20858,Designer Loft in Berlin Mitte,"Bright and sunny condo with two balconies in a stunning location in Berlin Mitte/Prenzelberg!<br /><br /><b>The space</b><br />A 100 qm fancy and bright designer loft condo, in the heart of famous Prenzlauer Berg, partly exposed brickwork and fire place. <br /><br />2 bedrooms plus huge living space with kitchen. 2 TVs, one in the master bedroom including a dvd player, and one in the living room. Washing machine plus dryer included<br />The loft is in the 5th floor (with elevator). Fantastic view down the Kastanienallee and to the television tower (Alex).<br /><br />By foot you have several bars, clubs, little shops (books, art, fashion)  theater and independent movie theatres, right around the corner.  The Kastanienallee is one of the most vibrant spots in Prenzlauer Berg, and leads you to the famous Mauerpark with its attached big flea market on sundays. <br /><br />Public transportation like the Tram M1 is just a few meters away, which leads you directly to Hackescher Markt, through",https://a0.muscache.com/pictures/108232/205b19a3_original.jpg,71331,https://www.airbnb.com/users/show/71331,Marc,100.0,Prenzlauer Berg Südwest,Pankow,52.53695,13.407620000000001,Entire home/apt,4,Entire home/apt,2.0,2.0,159.0,3,89.0,175,f,1.0
9,21869,https://www.airbnb.com/rooms/21869,Studio in the Heart of Kreuzberg,"Light and sunny 1-Room-turn of the century-flat in a typical Berliner front house in the best part of Kreuzberg.<br /><br /><b>The space</b><br />The apartment has two very comfortable high end sleeper sofas (Ligne Roset and Pol74), a completely equipped kitchen, a bathroom with a bath tub, a TV and a dining table as well as an armchair. There is a small stereo which connects through usb to your MP3 player as well as phone and a WIFi Internet connection. All furniture is in very good condition. The bathtub  also works as shower and the kitchen is completely equipped with pots, dishes and cooking utensils, stove, small refrigerator, toaster and a coffee machine. The apartment has a beautiful wood floor and is keep in very clean condition so it is suitable to people with allergies. We use non-toxic and non-smelling cleaning materials. Bedding and towels are made available. 40,00 € will be charged for the final cleaning. Check in after 8.00 pm 20,00 €. Children til 14 years free. A cot ca",https://a0.muscache.com/pictures/435605/4e86bbb6_original.jpg,64696,https://www.airbnb.com/users/show/64696,Rene,0.0,nördliche Luisenstadt,Friedrichshain-Kreuzberg,52.50273000000001,13.43462,Entire home/apt,4,Entire home/apt,1.0,2.0,70.0,60,95.0,291,f,1.0
11,22677,https://www.airbnb.com/rooms/22677,Prenzel garden with leafy terrace (quiet Guests),"Comfortable, cozy and quiet 70m2 apartment plus garden and terrace(for quiet guests only),  perfect to relax after your trips around the city.  Centrally located in trendy Kastanienallee, it is just minutes away from Alexander Platz, Friedrichstrasse, Hackescher Markt, Mauer Park, etc. Get on the tram in front of the building. or just walk around and see all kinds of shops, cafes, parks, beer garden, historic places, you name it!   (Please agree on House Rules before booking)<br /><br /><b>The space</b><br />Relax in the leafy 40m2 garden terrace and enjoy our quiet, modern, remodelled, and tastefully decorated 70m2 apartment between the districts of Mitte and Prenzlauer Berg. <br />The bedroom sleeps 4 (2 single beds and a flexible 2-person sofa bed) with no street noise, there is enough space for clothes and hangers, mirror, and a desk  that can be used as work space for the room. The cozy living room has a LCD flat screen TV, a sofa bed and 2 comfortable sleeper chairs. Enjoy free W",https://a0.muscache.com/pictures/10867210/71fc2480_original.jpg,87357,https://www.airbnb.com/users/show/87357,Ramfis,100.0,Brunnenstr. Süd,Mitte,52.53435,13.405579999999999,Entire home/apt,5,Entire home/apt,1.0,4.0,160.0,2,95.0,270,f,1.0
13,24569,https://www.airbnb.com/rooms/24569,Sunny & Wheelchair accessible,"<b>The space</b><br />The apartment has 150 sqm and is on the 4th floor in a newly renovated 19th century building. It has a lift, which stops directly in the apartment. The apartment has two bedrooms, two bathrooms (one is wheelchair accessible with disabled facilities), a guest toilette and a living room with stylish sofa´s (Rolf Benz), side table and a cd-player and a balcony with a view to the park. The kitchen is huge and 8 people can sit on the kitchen table. The living room is with floor to ceiling windows. High Speed Internet (DSL) is available. Smoking is allowed on the balcony. <br /> <br />Further details on the apartment: <br /> <br />• newly renovated, wooden floors, 2 bedrooms, 2 bathrooms with bathtub and <br />washing machine/dryer <br />• Kitchen amenities: dishwasher, tea and coffee facilities, toaster, water heater, electric oven and stove, refrigerator, crockery and cutlery, pots and pans <br />• sheets and towels provided <br />• high speed internet (DSL) <br />• 2",https://a0.muscache.com/pictures/2019183/031d936c_original.jpg,99662,https://www.airbnb.com/users/show/99662,Dominik,100.0,Prenzlauer Berg Südwest,Pankow,52.53079,13.418079999999998,Entire home/apt,4,Entire home/apt,2.0,2.0,135.0,4,94.0,95,f,2.5
16,29279,https://www.airbnb.com/rooms/29279,Quiet 2 rooms next Helmholtzplatz,"This charming apartment located in a building built at the beginning of the 20th century, is in the center of the trendiest area of Berlin, Prenzlauer Berg. And next to the famous square ""Helmholtzplatz"".<br /><br /><b>The space</b><br />The apartment, is on the 2th floor (without elevator) of a building built at the beginning of the 20th century and can welcome up to 4 persons. <br /><br />In the kitchen, you will find all cooking amenities (pans, toaster, coffee machine, electric kettle, refrigerator-freezer) as well as a dishwasher.<br /><br />Both bedrooms comprise approximately 25 sqm each. In the first one, there is 2 single beds (100x200) and a commode. The single beds can make a double bed, if you prefer. <br />The other room is furnished with a double bed (160x200). You can also use this room as a lounge: there’s a couch, a flat-screen television, DVD and a small hi-fi system. There’s Internet (WIFI) in the apartment. <br />We can also supply you a baby-bed without extra cost.",https://a0.muscache.com/pictures/ec8c12ef-85f5-4cb3-ae98-0a92af615068.jpg,54283,https://www.airbnb.com/users/show/54283,Marine,86.0,Helmholtzplatz,Pankow,52.54179,13.423879999999999,Entire home/apt,4,Entire home/apt,2.0,3.0,65.0,60,96.0,300,f,1.0
17,30295,https://www.airbnb.com/rooms/30295,PEACEFUL FLAT WITH VINTAGE TOUCH IN PRENZLAUERBERG,"Right in the heart of Prenzlauer Berg, probably the nicest neighbourhood in town, this apartment has a special character, with its mix of design objects, vintage furnitures and beautiful old green doors. Subway/supermarkets 100m away! Parking for free just 10 min away from the flat or at 5€/day in the Parkhaus at Schönhauserallee Arkaden.<br /><br /><b>The space</b><br />Situated in the heart of popular Prenzlauer Berg, this attractive Berlin apartment makes shopping and sightseeing a convenient pleasure during your short stay. The beauty of the interior lies in the good taste of the furnitures and, in general, in all the many details of an apartment situated in an historical building (decorations on the ceilings, old doors). Opal white walls combine with wooden floors and design- and  retro furnishings (no Ikea!) to create a universal charm.   The walls of all rooms are decorated with beautiful, vintage polish posters designed for operas and circus shows, which, together with the colo",https://a0.muscache.com/pictures/4551295/95263036_original.jpg,485838,https://www.airbnb.com/users/show/485838,Michele,100.0,Helmholtzplatz,Pankow,52.54597,13.422360000000001,Entire home/apt,8,Entire home/apt,2.0,4.0,113.0,4,95.0,336,t,1.0
18,33043,https://www.airbnb.com/rooms/33043,Central Bright Bellevue Free Parking WIFI 4G,"Welcome in our nice apartment: airy bedroom, great kitchen, separate dining room, travel cot for baby. At the back is a small park, while the glorious Tiergarten is a short walk away. Free public parking is available in front of the house. A lovely walk to the S-Bahn and everything is within easy reach. Super fast Wi-Fi 4G unlimited included.<br /><br /><b>The space</b><br />New fantastic 4G unlimited WIFI included in the price!<br /><br />Enjoy Berlin in Moabit-Mitte! This lovely bright, newly renovated, functionally furnished 47mq apartment is located in the strickt city center of Berlin.<br /><br />Very good transport (Bus and subway): less than 15 minutes to Kurfürstendamm, the Brandenburg Gate, Reichstag, Friedrichstrasse, Unter den Linden.<br />In walking distance to Main Railway station, Haus der Kulturen der Welt, Siegessaeule.<br />Tiergarten Park, Bellevue Castle and River Spree, only 400 meters away.<br />Free public parking is available in front of the house.<br />We have a",https://a0.muscache.com/pictures/17480451/e8b2b26b_original.jpg,143180,https://www.airbnb.com/users/show/143180,Claudio&Irina,100.0,Moabit Ost,Mitte,52.52195,13.3559,Entire home/apt,4,Entire home/apt,1.0,2.0,74.0,3,90.0,55,t,1.0
